Band,Pop Rockstars,Punk Rock,Hardcore,Emo,Alternative Rock,Grunge,Heavy Metal,Nu-Metal
Interpol,0,0,0,0,1,0,0,0
The Shins,0,0,0,0,1,0,0,0
The Vines,0,0,0,0,1,0,0,0
Yeah Yeah Yeahs,0,0,0,0,1,0,0,0
Franz Ferdinand,0,0,0,0,1,0,0,0
The Libertines,0,0,0,0,1,0,0,0
Arctic Monkeys,0,0,0,0,1,0,0,0
The Killers,0,0,0,0,1,0,0,0
Bloc Party,0,0,0,0,1,0,0,0
The Editors,0,0,0,0,1,0,0,0
Babyshambles,0,0,0,0,1,0,0,0
Kaiser Chiefs,0,0,0,0,1,0,0,0
Art Brut,0,0,0,0,1,0,0,0
